category,datetime,headline,id,image,related,source,summary,url
company,1698879069,UPDATE 4-Boeing says 'cyber incident' hit parts business after ransom threat,123567202,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Boeing, one of the world's largest defense and space contractors, said on Wednesday it was investigating a cyber incident that impacted elements of its parts and distribution business and cooperating with a law enforcement probe into it.  Boeing acknowledged the incident days after the Lockbit cybercrime gang said on Friday it had stolen ""a tremendous amount"" of sensitive data from the U.S. planemaker that it would dump online if Boeing didn't pay ransom by Nov. 2.  Boeing declined to comment on whether Lockbit was behind the cyber incident it disclosed.",https://finnhub.io/api/news?id=4f4d4f7f51b54950341f38e269b98d4323eb962b423de0b8f18bbd4a72275c86
company,1698878899,Boeing says 'cyber incident' hit parts business after ransom threat,123567203,https://media.zenfs.com/en/reuters-finance.com/34f12317a70ff1d7b1c4d6f92b48a8bc,BA,Yahoo,"WASHINGTON (Reuters) -Boeing, one of the world's largest defense and space contractors, said on Wednesday it was investigating a cyber incident that impacted elements of its parts and distribution business and cooperating with a law enforcement probe into it.  Boeing acknowledged the incident days after the Lockbit cybercrime gang said on Friday it had stolen ""a tremendous amount"" of sensitive data from the U.S. planemaker that it would dump online if Boeing didn't pay ransom by Nov. 2.  Boeing declined to comment on whether Lockbit was behind the cyber incident it disclosed.",https://finnhub.io/api/news?id=5b36596aef91c5f6fe30fb2cb40cc1be23b145d6381891b6c512eb3c6fe5c297
company,1698877471,UPDATE 1-US Air Force blows up Minuteman III in test flight after post-launch anomaly,123567205,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The U.S. Air Force said on Wednesday it had blown up a Minuteman III missile over the Pacific Ocean after an anomaly was detected following its launch from Vandenberg Space Force Base in California.  The Air Force did not elaborate but said it was forming a launch analysis group to investigate.  ""The command learns lessons from every test launch,"" Captain Lauren Linscott said in a written statement.",https://finnhub.io/api/news?id=37c95272c9136be4fddf521dc97505b7669a228979e2a2d36a77a77b55089fab
company,1698838200,He Left Boeing. Now He’s the Jet Maker’s Most Important Person.,123544220,,BA,Yahoo,"Pat Shanahan is taking over Spirit AeroSystems, the supplier whose snafus are slowing production of 737s: “The advantage I have is that I speak the language of the customer.”",https://finnhub.io/api/news?id=0734bb1d9a76a471ef05289ff43a082abcc0e54b571fc50323914cec74f7e3ec
company,1698857220,Boeing shares higher as Goldman Sachs adds planemaker to 'conviction buy' list,123567208,https://s.yimg.com/ny/api/res/1.2/E5UuO8v96PopEmQp090NcA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/71e26c83bbc45ed61571c06b646da4d6,BA,Yahoo,"Longer-term aircraft demand remains a more powerful driver for Boeing, which has a $58 billion order book, than near-term delivery trends, Goldman analysts argue.",https://finnhub.io/api/news?id=bdae52e4e5ec724eee750684083c8cac624e8542744fa0de4594f8b781ee79fd
company,1698856800,"Boeing Co. stock rises Wednesday, outperforms market",123561515,https://images.mktw.net/im-220105/social,BA,MarketWatch,"Shares of Boeing Co. rose 1.37% to $189.38 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=dc7aa107a6d496b2ac9ab590039571cc998d5976fed4212de6580addd789c48d
company,1698852540,SpaceX Chief Elon Musk calls out his struggling aerospace competitors,123567209,https://s.yimg.com/ny/api/res/1.2/FkEZbaZ0Bs8IFtryYT8KTA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/thestreet.com/7389177bd746d29dfce31d58bd382d7b,BA,Yahoo,"One of Elon Musk's secondary goals with SpaceX is to continue to expand Starlink, that enormous and ever-growing constellation of broadband internet satellites floating in low-Earth orbit.  The company, which operates a constellation of around 5,000 satellites, has recently been making efforts to make its way into the hands of more consumers, with tentative dates for direct-to-cell availability live on SpaceX's website.  The company has approval to launch a total of 12,000 satellites and intends to boost its constellation to around 40,000 satellites.",https://finnhub.io/api/news?id=1c4a165f7274f89c5bfe5caeb9fd9081789152f9d7c3dfb59b523b3624491c92
company,1698848517,"Morning Brew: AMD's Q4 Guidance Weighs on Stock, Apple's Negative Sentiment Overcooked, and Fed",123545059,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Advanced Micro Devices (NASDAQ:AMD) stock was among the most actively traded ahead of the opening bell, with shares down marginally.  Wedbush Securities has a positive outlook on both Apple's (NASDAQ:AAPL) iPhone and services segments ahead of the companys fourth-quarter earnings report on Thursday.  The research firm believes that the overall sentiment of Apple on the Street is a negative groupthink mentality, which is very disconnected from the current iPhone 15 growth.",https://finnhub.io/api/news?id=d8793b0d7c45c7f8a72877809f9d0924c4c36403a96d086153df1b1e581e37bb
company,1698845429,"Compared to Estimates, Spirit Aerosystems (SPR) Q3 Earnings: A Look at Key Metrics",123566505,https://s.yimg.com/ny/api/res/1.2/gZA5XMnsr1RRZw6lGNAcdA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05NDA-/https://media.zenfs.com/en/zacks.com/c65fb4556b91b6c9dc83e4eff25fede0,BA,Yahoo,"Although the revenue and EPS for Spirit Aerosystems (SPR) give a sense of how its business performed in the quarter ended September 2023, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=ca6571146b46d493b46e8dc2780853a854a82da54a8f354762785042b55a0a50
company,1698840660,"Goldman Sachs' 25 ""conviction list"" stocks to buy",123546609,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5eda28e6d58826ba8b974b6686184102ed06b0e85793485d11d8a813adeba9ce
