,category,datetime,headline,id,image,related,source,summary,url
0,company,1706743226,UPDATE 1-US FAA says Boeing 737 audit will review Spirit fuselage production,125468439,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The Federal Aviation Administration said on Wednesday that its previously announced audit of Boeing 737 MAX manufacturing will look at all elements of production at Boeing  and fuselage production at Spirit AeroSystems'.  The FAA said a team of two dozen aviation safety inspectors will conduct the audit at the Boeing 737 facility in Renton, Washington, and at Spirit in Wichita, Kansas.  The audit will also examine how Boeing transfers unfinished work from suppliers to its production lines.",https://finnhub.io/api/news?id=3c9f0ede6c5e04181019b4ee12a18bcf1094b8970cfdff1f8d454a888134b2a2
1,company,1706741163,"ROSEN, TRUSTED INVESTOR COUNSEL, Encourages The Boeing Company Investors with Losses to Secure Counsel Before Important Deadline in Securities Class Action - BA",125443555,,BA,Finnhub,"NEW YORK, Jan. 31, 2024 /PRNewswire/ --  WHY: Rosen Law Firm, a global investor...",https://finnhub.io/api/news?id=ca83085b0a7e26b57046c421a16056b27b53e19040e7c9afa24f875b950dcdb9
2,company,1706740216,Boeing (BA) Q4 2023 Earnings Call Transcript,125468440,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template-2023-01-12.jpg,BA,Yahoo,"BA earnings call for the period ending December 31, 2023.",https://finnhub.io/api/news?id=48410f9fbdcd990a747548538df6c1595ca388cbdc8ad553893e7409b6fc21b3
3,company,1706738780,US FAA says Boeing 737 audit will review Spirit fuselage production,125468441,https://media.zenfs.com/en/reuters-finance.com/429e598d9264b520a39219747e5d85c7,BA,Yahoo,"WASHINGTON (Reuters) -The Federal Aviation Administration said on Wednesday that its previously announced audit of Boeing 737 MAX manufacturing will look at all elements of production at Boeingand fuselage production at Spirit AeroSystems'.  The FAA said a team of two dozen aviation safety inspectors will conduct the audit at the Boeing 737 facility in Renton, Washington, and at Spirit in Wichita, Kansas.  The audit will also examine how Boeing transfers unfinished work from suppliers to its production lines.",https://finnhub.io/api/news?id=9b6ab2295db1269528e294a0dee99069b5c9b628afc53c6cf82279bfd5c36c09
4,company,1706738746,Boeing CEO says company has 'much to prove',125468442,https://s.yimg.com/ny/api/res/1.2/oFjcSDkfl1nja.rkHe6CeQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/fox_business_text_367/d6e719d8f211e17650342174250f9b85,BA,Yahoo,"Boeing chief executive Dave Calhoun told employees in a message Wednesday the company has ""much to prove"" to earn back trust after the door blew off one of its planes midflight.",https://finnhub.io/api/news?id=fe1736dabb96447ab070d09232a9e1f5fdb550f2f6e871c222beb37e03094a76
5,company,1706738327,FAA says comprehensive Boeing 737 audit will review Spirit fuselage production,125468443,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The Federal Aviation Administration said on Wednesday that its previously announced audit of Boeings Co's 737 MAX production will include all elements of Boeing production system and review Spirit AeroSystems' 737 MAX fuselage production system.  The FAA said the audit will occur at the Boeing 737 facility in Renton, Washington, and at Spirit in Wichita, Kansas.",https://finnhub.io/api/news?id=97dde1add7da1095a1696d9e80dc666945d621da849d499cd14c999bd7bcbb30
6,company,1706730240,13 Best Aerospace Stocks To Buy On Sale,125437670,https://s.yimg.com/ny/api/res/1.2/g3QbZYFMg8.39tvLuaI0KQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/3b29ca7573151c0ad13432d8858cecbb,BA,Yahoo,"In this article, we discuss the 13 best aerospace stocks to buy on sale. If you want to skip our detailed analysis of these stocks, go directly to 5 Best Aerospace Stocks To Buy On Sale. Travel demand around the world has started surprising pre-pandemic levels, leading to an increase in demand for aircrafts that […]",https://finnhub.io/api/news?id=f2c838db1660739e4175728ea73651a17e28a87d539cc4981dbce56cf66dc100
7,company,1706728570,News Highlights : Top Company News of the Day - Wednesday at 7 PM ET,125443347,,BA,Finnhub,"Qualcomm Revenue Tops Estimates The company logged better-than-expected revenue in the latest quarter, led by growth in handsets and automotive. MetLife Net Plunges Despite Revenue Surge ...",https://finnhub.io/api/news?id=9cdf3e7b7242784b25c6b4836c48f9e4368df4790b9572292522bc7ebea3e27f
8,company,1706728510,White House: concerned about problems reported with Boeing MAX planes,125468445,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The White House said on Wednesday it was concerned about reported problems with Boeing Co's 737 MAX fleet but would not comment on any potential leadership changes at the company.  ""Obviously we're concerned,"" White House press secretary Karine Jean-Pierre said, adding the FAA is looking into the issue with safety being the government's top priority.  ""I'm not going to get into the leadership at Boeing,"" she said when asked if the White House had confidence in the company's leaders to resolve its issues.",https://finnhub.io/api/news?id=101245614a405c89bba00497d94af66ba8d41f7d51fe26be1fcce4e7404491f0
9,company,1706724544,‘We Caused the Problem:’ Boeing CEO Apologizes for Max 9 Crisis,125435605,https://media.zenfs.com/en/skift_501/0c9572704d34fffabd52d6321a49384f,BA,Yahoo,The U.S. planemaker said it can’t issue 2024 financial targets as it still reels from the Alaska blowout.,https://finnhub.io/api/news?id=adb4f97644b07a178a85b3cb1fdca117b98ea12d22f8b06df4a0e91c69701a32
